名字,期刊,ISSN,EISSN,最新IF ,5年IF,JCR分区,中科院分区,中科院预警,,,,,,
CONSERVATION BIOLOGY,CONSERV BIOL,0888-8892,1523-1739,5.2,6.1,Q1,,,,,,,,
ENVIRONMENT AND BEHAVIOR,ENVIRON BEHAV,0013-9165,1552-390X,5.2,6.8,Q1,,,,,,,,
PEDOSPHERE,PEDOSPHERE,1002-0160,2210-5107,5.2,5.3,Q1,,,,,,,,
ATMOSPHERIC CHEMISTRY AND PHYSICS,ATMOS CHEM PHYS,1680-7316,1680-7324,5.2,5.7,Q1,,,,,,,,
Immunity & Ageing,IMMUN AGEING,1742-4933,1742-4933,5.2,6.4,Q1,,,,,,,,
Vaccines,VACCINES-BASEL,N/A,2076-393X,5.2,4.9,Q1,,,,,,,,
Sustainability Accounting Management and Policy Journal,SUSTAIN ACCOUNT MANA,2040-8021,2040-803X,5.2,5.9,Q1,,,,,,,,
Advances in Sample Preparation,ADV SAMPLE PREP,N/A,2772-5820,5.2,5.2,Q1,,,,,,,,
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,AMYLOID,1350-6129,1744-2818,5.2,6.7,Q1,,,,,,,,
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,IEEE T CIRCUITS-I,1549-8328,1558-0806,5.2,4.5,Q1,,,,,,,,
Journal of Neuroimmune Pharmacology,J NEUROIMMUNE PHARM,1557-1890,1557-1904,5.2,5.2,Q1,,,,,,,,
IEEE Open Journal of the Industrial Electronics Society,IEEE OPEN J IND ELEC,N/A,2644-1284,5.2,5.3,Q1,,,,,,,,
Journal of Product and Brand Management,J PROD BRAND MANAG,1061-0421,2054-1643,5.2,5.7,Q1,,,,,,,,
REDOX REPORT,REDOX REP,1351-0002,1743-2928,5.2,4.9,Q1,,,,,,,,
Strategic Organization,STRATEG ORGAN,1476-1270,1741-315X,5.2,6.3,Q1,,,,,,,,
JOURNAL OF RARE EARTHS,J RARE EARTH,1002-0721,1002-0721,5.2,4.4,Q1,,,,,,,,
Journal of Future Foods,J FUTURE FOODS,N/A,2772-5669,5.2,5.2,Q1,,,,,,,,
CATALYSIS TODAY,CATAL TODAY,0920-5861,1873-4308,5.2,5,Q1,,,,,,,,
CURRENT OPINION IN RHEUMATOLOGY,CURR OPIN RHEUMATOL,1040-8711,1531-6963,5.2,5,Q1,,,,,,,,
SEPARATION AND PURIFICATION REVIEWS,SEP PURIF REV,1542-2119,1542-2127,5.2,5.7,Q1,,,,,,,,
EPIDEMIOLOGIC REVIEWS,EPIDEMIOL REV,0193-936X,1478-6729,5.2,6.2,Q1,,,,,,,,
Current Diabetes Reports,CURR DIABETES REP,1534-4827,1539-0829,5.2,5.8,Q1,,,,,,,,
ENERGY & FUELS,ENERG FUEL,0887-0624,1520-5029,5.2,4.5,Q1,,,,,,,,
Materials Advances,MATER ADV,N/A,2633-5409,5.2,5.1,Q2,,,,,,,,
Comunicar,COMUNICAR,1134-3478,1988-3293,5.1,5.2,Q1,,,,,,,,
JOURNAL OF COMPUTER ASSISTED LEARNING,J COMPUT ASSIST LEAR,0266-4909,1365-2729,5.1,5.4,Q1,,,,,,,,
PSYCHOLOGICAL REVIEW,PSYCHOL REV,0033-295X,1939-1471,5.1,7.4,Q1,,,,,,,,
Child Development Perspectives,CHILD DEV PERSPECT,1750-8592,1750-8606,5.1,7.8,Q1,,,,,,,,
IEEE Transactions on Emerging Topics in Computing,IEEE T EMERG TOP COM,2168-6750,2168-6750,5.1,4.5,Q1,,,,,,,,
Behavioural Public Policy,BEHAV PUBLIC POLICY,2398-063X,2398-0648,5.1,N/A,Q1,,,,,,,,
Limnology and Oceanography Letters,LIMNOL OCEANOGR LETT,N/A,2378-2242,5.1,7.5,Q1,,,,,,,,
Engineering Science and Technology-An International Journal-JESTECH,ENG SCI TECHNOL,2215-0986,2215-0986,5.1,4.8,Q1,,,,,,,,
REGIONAL ANESTHESIA AND PAIN MEDICINE,REGION ANESTH PAIN M,1098-7339,1532-8651,5.1,5.4,Q1,,,,,,,,
Journal of Rural Studies,J RURAL STUD,0743-0167,1873-1392,5.1,5.5,Q1,,,,,,,,
JOURNAL OF DEVELOPMENT ECONOMICS,J DEV ECON,0304-3878,1872-6089,5.1,6.1,Q1,,,,,,,,
LABORATORY INVESTIGATION,LAB INVEST,0023-6837,1530-0307,5.1,5.2,Q1,,,,,,,,
RMD Open,RMD OPEN,2056-5933,2056-5933,5.1,5,Q1,,,,,,,,
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE T AERO ELEC SYS,0018-9251,1557-9603,5.1,4.7,Q1,,,,,,,,
NEUROBIOLOGY OF DISEASE,NEUROBIOL DIS,0969-9961,1095-953X,5.1,5.6,Q1,,,,,,,,
HEART,HEART,1355-6037,1468-201X,5.1,5.6,Q1,,,,,,,,
SURVEY OF OPHTHALMOLOGY,SURV OPHTHALMOL,0039-6257,1879-3304,5.1,5.9,Q1,,,,,,,,
Information Technology for Development,INFORM TECHNOL DEV,0268-1102,1554-0170,5.1,5.4,Q1,,,,,,,,
JOURNAL OF BONE AND MINERAL RESEARCH,J BONE MINER RES,0884-0431,1523-4681,5.1,5.8,Q1,,,,,,,,
ACS Macro Letters,ACS MACRO LETT,N/A,2161-1653,5.1,5.7,Q1,,,,,,,,
mBio,MBIO,2150-7511,2150-7511,5.1,5.9,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,INT J IMPACT ENG,0734-743X,1879-3509,5.1,5.4,Q1,,,,,,,,
Ceramics International,CERAM INT,0272-8842,1873-3956,5.1,4.7,Q1,,,,,,,,
Quantum,QUANTUM-AUSTRIA,2521-327X,2521-327X,5.1,7,Q2,,,,,,,,
PROSTATE CANCER AND PROSTATIC DISEASES,PROSTATE CANCER P D,1365-7852,1476-5608,5.1,4.8,Q1,,,,,,,,
BIOLOGY AND FERTILITY OF SOILS,BIOL FERT SOILS,0178-2762,1432-0789,5.1,6.2,Q1,,,,,,,,
Travel Behaviour and Society,TRAVEL BEHAV SOC,2214-367X,2214-3688,5.1,5.5,Q1,,,,,,,,
Function,FUNCTION,N/A,2633-8823,5.1,5.2,Q1,,,,,,,,
ISME Communications,ISME COMMUN,N/A,2730-6151,5.1,5.1,Q1,,,,,,,,
Water Biology and Security,WATER BIOL SECUR,N/A,2772-7351,5.1,5.1,Q1,,,,,,,,
MACROMOLECULES,MACROMOLECULES,0024-9297,1520-5835,5.1,5.1,Q1,,,,,,,,
ASTRONOMICAL JOURNAL,ASTRON J,0004-6256,1538-3881,5.1,5.6,Q1,,,,,,,,
Journal of Theoretical and Applied Electronic Commerce Research,J THEOR APPL EL COMM,0718-1876,0718-1876,5.1,5.1,Q1,,,,,,,,
Food & Function,FOOD FUNCT,2042-6496,2042-650X,5.1,5.6,Q1,,,,,,,,
Precision Clinical Medicine,PRECIS CLIN MED,2096-5303,2516-1571,5.1,4.8,Q1,,,,,,,,
Tissue Engineering Part B-Reviews,TISSUE ENG PART B-RE,1937-3368,1937-3376,5.1,8.9,Q2,,,,,,,,
JOURNAL OF MARKETING RESEARCH,J MARKETING RES,0022-2437,1547-7193,5.1,7.4,Q1,,,,,,,,
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,1072-4109,1533-4031,5.1,5.2,Q1,,,,,,,,
Data Science and Engineering,DATA SCI ENG,2364-1185,2364-1541,5.1,3.6,Q1,,,,,,,,
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,0003-0090,1937-3546,5.1,3.4,Q1,,,,,,,,
Thermal Science and Engineering Progress,THERM SCI ENG PROG,2451-9049,2451-9049,5.1,5,Q1,,,,,,,,
Project Management Journal,PROJ MANAG J,8756-9728,1938-9507,5.1,5.5,Q1,,,,,,,,
European Transport Research Review,EUR TRANSP RES REV,1867-0717,1866-8887,5.1,4.8,Q1,,,,,,,,
JOURNAL OF PUBLIC POLICY & MARKETING,J PUBLIC POLICY MARK,0743-9156,1547-7207,5.1,6.9,Q1,,,,,,,,
BRITISH JOURNAL OF HAEMATOLOGY,BRIT J HAEMATOL,0007-1048,1365-2141,5.1,5.7,Q1,,,,,,,,
Sustainability Science,SUSTAIN SCI,1862-4065,1862-4057,5.1,6.8,Q2,,,,,,,,
American Journal of Medicine,AM J MED,0002-9343,1555-7162,5.1,5,Q1,,,,,,,,
Batteries & Supercaps,BATTERIES SUPERCAPS,N/A,2566-6223,5.1,5.5,Q2,,,,,,,,
ARTIFICIAL INTELLIGENCE,ARTIF INTELL-AMST,0004-3702,1872-7921,5.1,4.8,Q1,,,,,,,,
NUTRITION RESEARCH REVIEWS,NUTR RES REV,0954-4224,1475-2700,5.1,7.3,Q1,,,,,,,,
Substance Abuse and Rehabilitation,SUBST ABUSE REHABIL,1179-8467,1179-8467,5.1,6.6,Q1,,,,,,,,
Cells,CELLS-BASEL,N/A,2073-4409,5.1,6,Q2,,,,,,,,
Lung Cancer-Targets and Therapy,LUNG CANCER-TARGETS,N/A,1179-2728,5.1,3.8,Q1,,,,,,,,
JOURNAL OF SECOND LANGUAGE WRITING,J SECOND LANG WRIT,1060-3743,1873-1422,5,5.9,Q1,,,,,,,,
ANNALS OF EMERGENCY MEDICINE,ANN EMERG MED,0196-0644,1097-6760,5,5.2,Q1,,,,,,,,
Asian Journal of Social Health and Behavior,ASIAN J SOC HEAL BEH,N/A,2772-4204,5,N/A,Q1,,,,,,,,
AMERICAN JOURNAL OF POLITICAL SCIENCE,AM J POLIT SCI,0092-5853,1540-5907,5,7.1,Q1,,,,,,,,
Research Synthesis Methods,RES SYNTH METHODS,1759-2879,1759-2887,5,11.2,Q1,,,,,,,,
Aerospace Science and Technology,AEROSP SCI TECHNOL,1270-9638,1626-3219,5,4.8,Q1,,,,,,,,
Structural Change and Economic Dynamics,STRUCT CHANGE ECON D,0954-349X,1873-6017,5,5.3,Q1,,,,,,,,
Journal of Clinical Anesthesia,J CLIN ANESTH,0952-8180,1873-4529,5,6.2,Q1,,,,,,,,
Defence Technology,DEF TECHNOL,2096-3459,2214-9147,5,4.9,Q1,,,,,,,,
Equilibrium-Quarterly Journal of Economics and Economic Policy,EQUILIBRIUM,1689-765X,2353-3293,5,3,Q1,,,,,,,,
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,INVEST OPHTH VIS SCI,0146-0404,1552-5783,5,4.9,Q1,,,,,,,,
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,0018-9529,1558-1721,5,5.2,Q1,,,,,,,,
Digestive Endoscopy,DIGEST ENDOSC,0915-5635,1443-1661,5,5.4,Q1,,,,,,,,
Public Management Review,PUBLIC MANAG REV,1471-9037,1471-9045,5,6.3,Q1,,,,,,,,
JOURNAL OF INFECTIOUS DISEASES,J INFECT DIS,0022-1899,1537-6613,5,4.7,Q1,,,,,,,,
JOURNAL OF HIGH ENERGY PHYSICS,J HIGH ENERGY PHYS,1029-8479,1029-8479,5,4.6,Q1,,,,,,,,
CEPHALALGIA,CEPHALALGIA,0333-1024,1468-2982,5,6.9,Q1,,,,,,,,
THEORETICAL AND APPLIED FRACTURE MECHANICS,THEOR APPL FRACT MEC,0167-8442,1872-7638,5,4.6,Q1,,,,,,,,
Journal of the American Heart Association,J AM HEART ASSOC,N/A,2047-9980,5,5.7,Q1,,,,,,,,
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,0021-8901,1365-2664,5,6.2,Q1,,,,,,,,
POLYMER TESTING,POLYM TEST,0142-9418,1873-2348,5,4.7,Q1,,,,,,,,
Lancet Regional Health - Southeast Asia,LANCET REG HLTH-SE A,2772-3682,2772-3682,5,5,Q1,,,,,,,,
AMERICAN JOURNAL OF EPIDEMIOLOGY,AM J EPIDEMIOL,0002-9262,1476-6256,5,5.1,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,INT J ELEC POWER,0142-0615,1879-3517,5,4.6,Q1,,,,,,,,
Journal of Geovisualization and Spatial Analysis,J GEOVIS SPAT ANAL,2509-8810,2509-8829,5,4.2,Q1,,,,,,,,
IEEE Transactions on Cognitive and Developmental Systems,IEEE T COGN DEV SYST,2379-8920,2379-8939,5,4.6,Q1,,,,,,,,
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,J CLIN ENDOCR METAB,0021-972X,1945-7197,5,5.3,Q1,,,,,,,,
Egyptian Informatics Journal,EGYPT INFORM J,1110-8665,2090-4754,5,4.6,Q1,,,,,,,,
Molecular Oncology,MOL ONCOL,1574-7891,1878-0261,5,6.5,Q1,,,,,,,,
mSystems,MSYSTEMS,2379-5077,2379-5077,5,6.1,Q1,,,,,,,,
INFORMATION SYSTEMS RESEARCH,INFORM SYST RES,1047-7047,1526-5536,5,7.8,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,INT J FOOD MICROBIOL,0168-1605,1879-3460,5,5,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,INT J HEAT MASS TRAN,0017-9310,1879-2189,5,5,Q1,,,,,,,,
PROGRESS IN PLANNING,PROG PLANN,0305-9006,1873-4510,5,4.9,Q1,,,,,,,,
Physics of the Dark Universe,PHYS DARK UNIVERSE,N/A,2212-6864,5,4.7,Q1,,,,,,,,
JMIR Aging,JMIR AGING,N/A,2561-7605,5,N/A,Q1,,,,,,,,
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,AM J PHYSIOL-CELL PH,0363-6143,1522-1563,5,5.2,Q1,,,,,,,,
Annual Review of Financial Economics,ANNU REV FINANC ECON,1941-1367,1941-1375,5,5.8,Q1,,,,,,,,
Photonic Sensors,PHOTONIC SENS,1674-9251,2190-7439,5,3.3,Q1,,,,,,,,
THROMBOSIS AND HAEMOSTASIS,THROMB HAEMOSTASIS,0340-6245,2567-689X,5,4.4,Q1,,,,,,,,
Journal of Leadership & Organizational Studies,J LEADERSH ORG STUD,1548-0518,1939-7089,5,5.2,Q1,,,,,,,,
JOURNAL OF LIPID RESEARCH,J LIPID RES,0022-2275,1539-7262,5,5.7,Q1,,,,,,,,
PSYCHIATRY AND CLINICAL NEUROSCIENCES,PSYCHIAT CLIN NEUROS,1323-1316,1440-1819,5,6.9,Q1,,,,,,,,
European Journal of Innovation Management,EUR J INNOV MANAG,1460-1060,1758-7115,5,5.8,Q1,,,,,,,,
JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,J MECH PHYS SOLIDS,0022-5096,1873-4782,5,5.4,Q2,,,,,,,,
Gels,GELS-BASEL,N/A,2310-2861,5,4.9,Q1,,,,,,,,
IEEE TRANSACTIONS ON ENERGY CONVERSION,IEEE T ENERGY CONVER,0885-8969,1558-0059,5,5.1,Q1,,,,,,,,
BIPOLAR DISORDERS,BIPOLAR DISORD,1398-5647,1399-5618,5,5.9,Q1,,,,,,,,
SEMINARS IN HEMATOLOGY,SEMIN HEMATOL,0037-1963,1532-8686,5,3.5,Q1,,,,,,,,
AAPS Journal,AAPS J,1550-7416,1550-7416,5,4.1,Q1,,,,,,,,
Expert Opinion on Drug Delivery,EXPERT OPIN DRUG DEL,1742-5247,1744-7593,5,7.2,Q1,,,,,,,,
Annual Review of Vision Science,ANNU REV VIS SCI,2374-4642,2374-4650,5,7.1,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,0884-8173,1098-111X,5,5.9,Q1,,,,,,,,
BME Frontiers,BME FRONT,N/A,2765-8031,5,N/A,Q1,,,,,,,,
Complex & Intelligent Systems,COMPLEX INTELL SYST,2199-4536,2198-6053,5,5.2,Q1,,,,,,,,
Inflammation and Regeneration,INFLAMM REGEN,N/A,1880-8190,5,7.2,Q1,,,,,,,,
Journal of Functional Biomaterials,J FUNCT BIOMATER,N/A,2079-4983,5,5.5,Q2,,,,,,,,
BIOFACTORS,BIOFACTORS,0951-6433,1872-8081,5,5.8,Q1,,,,,,,,
IEEE Open Journal of Power Electronics,IEEE OPEN J POWER EL,N/A,2644-1314,5,4.8,Q1,,,,,,,,
GENES AND IMMUNITY,GENES IMMUN,1466-4879,1476-5470,5,3.8,Q2,,,,,,,,
Applications in Energy and Combustion Science,APPL ENERG COMBUST S,2666-352X,2666-352X,5,4.8,Q1,,,,,,,,
Sustainable Energy & Fuels,SUSTAIN ENERG FUELS,2398-4902,2398-4902,5,5.4,Q2,,,,,,,,
SOIL USE AND MANAGEMENT,SOIL USE MANAGE,0266-0032,1475-2743,5,3.9,Q1,,,,,,,,
Progress in Biomedical Engineering,PROG BIOMED ENG,N/A,2516-1091,5,6.1,Q1,,,,,,,,
ENVIRONMENT,ENVIRONMENT,0013-9157,1939-9154,5,4,Q1,,,,,,,,
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,0001-5962,1871-2509,4.9,5,Q1,,,,,,,,
SYSTEM,SYSTEM,0346-251X,1879-3282,4.9,5.5,Q1,,,,,,,,
COMMUNICATION RESEARCH,COMMUN RES,0093-6502,1552-3810,4.9,5.9,Q1,,,,,,,,
International Journal of Antimicrobial Agents,INT J ANTIMICROB AG,0924-8579,1872-7913,4.9,5.6,Q1,,,,,,,,
Intensive and Critical Care Nursing,INTENS CRIT CARE NUR,0964-3397,1532-4036,4.9,4.1,Q1,,,,,,,,
Bone & Joint Journal,BONE JOINT J,2049-4394,2049-4394,4.9,4.8,Q1,,,,,,,,
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,J THORAC CARDIOV SUR,0022-5223,1097-685X,4.9,4.9,Q1,,,,,,,,
Animal Microbiome,ANIM MICROBIOME,N/A,2524-4671,4.9,5,Q1,,,,,,,,
Spine Journal,SPINE J,1529-9430,1878-1632,4.9,4.6,Q1,,,,,,,,
MEDICAL EDUCATION,MED EDUC,0308-0110,1365-2923,4.9,6.9,Q1,,,,,,,,
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,APPL PSYCHOL-INT REV,0269-994X,1464-0597,4.9,6.3,Q1,,,,,,,,
SOCIAL SCIENCE & MEDICINE,SOC SCI MED,0277-9536,1873-5347,4.9,5.2,Q1,,,,,,,,
Computers in Human Behavior Reports,COMPUT HUM BEHAV REP,2451-9588,2451-9588,4.9,5.2,Q1,,,,,,,,
ORGANIC LETTERS,ORG LETT,1523-7060,1523-7052,4.9,4.5,Q1,,,,,,,,
CELLULOSE,CELLULOSE,0969-0239,1572-882X,4.9,5.3,Q1,,,,,,,,
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,J EPIDEMIOL COMMUN H,0143-005X,1470-2738,4.9,4.7,Q1,,,,,,,,
Minerva Urology and Nephrology,MINERVA UROL NEPHROL,2724-6051,2724-6442,4.9,3.6,Q1,,,,,,,,
JOURNAL OF AFFECTIVE DISORDERS,J AFFECT DISORDERS,0165-0327,1573-2517,4.9,5.4,Q1,,,,,,,,
ACS Pharmacology & Translational Science,ACS PHARMACOL TRANSL,N/A,2575-9108,4.9,4.9,Q1,,,,,,,,
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,CLIN EXP OPHTHALMOL,1442-6404,1442-9071,4.9,4,Q1,,,,,,,,
JOURNAL OF ACCOUNTING RESEARCH,J ACCOUNT RES,0021-8456,1475-679X,4.9,7.2,Q1,,,,,,,,
Biology of Sex Differences,BIOL SEX DIFFER,N/A,2042-6410,4.9,6,Q1,,,,,,,,
RADIOTHERAPY AND ONCOLOGY,RADIOTHER ONCOL,0167-8140,1879-0887,4.9,5.4,Q1,,,,,,,,
VALUE IN HEALTH,VALUE HEALTH,1098-3015,1524-4733,4.9,5.6,Q1,,,,,,,,
Diagnostic and Interventional Imaging,DIAGN INTERV IMAG,2211-5684,2211-5684,4.9,4.4,Q1,,,,,,,,
Current Opinion in Behavioral Sciences,CURR OPIN BEHAV SCI,2352-1546,2352-1554,4.9,5.2,Q1,,,,,,,,
Contemporary Political Theory,CONTEMP POLIT THEORY,1470-8914,1476-9336,4.9,2.7,Q1,,,,,,,,
Information Technology & People,INFORM TECHNOL PEOPL,0959-3845,1758-5813,4.9,5,Q1,,,,,,,,
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,J CEREBR BLOOD F MET,0271-678X,1559-7016,4.9,6.1,Q1,,,,,,,,
ANNALS OF MEDICINE,ANN MED,0785-3890,1365-2060,4.9,5.1,Q1,,,,,,,,
Alzheimers & Dementia-Translational Research & Clinical Interventions,ALZH DEMENT-TRCI,N/A,2352-8737,4.9,N/A,Q1,,,,,,,,
BIOLOGICAL CONSERVATION,BIOL CONSERV,0006-3207,1873-2917,4.9,6,Q1,,,,,,,,
MINERALS ENGINEERING,MINER ENG,0892-6875,0892-6875,4.9,4.9,Q1,,,,,,,,
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,J OCCUP ORGAN PSYCH,0963-1798,2044-8325,4.9,6.2,Q1,,,,,,,,
Pharmaceutics,PHARMACEUTICS,N/A,1999-4923,4.9,5.5,Q1,,,,,,,,
Marine Drugs,MAR DRUGS,N/A,1660-3397,4.9,5.2,Q1,,,,,,,,
Computer Methods and Programs in Biomedicine,COMPUT METH PROG BIO,0169-2607,1872-7565,4.9,5.5,Q1,,,,,,,,
Transportation Geotechnics,TRANSP GEOTECH,2214-3912,2214-3912,4.9,5.1,Q1,,,,,,,,
ATHEROSCLEROSIS,ATHEROSCLEROSIS,0021-9150,1879-1484,4.9,5.3,Q1,,,,,,,,
MICROCHEMICAL JOURNAL,MICROCHEM J,0026-265X,1095-9149,4.9,4.5,Q1,,,,,,,,
Food Quality and Preference,FOOD QUAL PREFER,0950-3293,1873-6343,4.9,5.3,Q1,,,,,,,,
Pathogens and Global Health,PATHOG GLOB HEALTH,2047-7724,2047-7732,4.9,4.4,Q1,,,,,,,,
CELLULAR ONCOLOGY,CELL ONCOL,2211-3428,2211-3436,4.9,5.2,Q1,,,,,,,,
ORGANIZATION STUDIES,ORGAN STUD,0170-8406,1741-3044,4.9,6.5,Q1,,,,,,,,
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,IEEE T CONTR SYST T,1063-6536,1558-0865,4.9,5.3,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,INT J HUM RESOUR MAN,0958-5192,1466-4399,4.9,5.8,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF THERMAL SCIENCES,INT J THERM SCI,1290-0729,1778-4166,4.9,4.3,Q1,,,,,,,,
Asia Pacific Journal of Management,ASIA PAC J MANAG,0217-4561,1572-9958,4.9,5.6,Q1,,,,,,,,
SURVEYS IN GEOPHYSICS,SURV GEOPHYS,0169-3298,1573-0956,4.9,6.8,Q1,,,,,,,,
Biomedical Signal Processing and Control,BIOMED SIGNAL PROCES,1746-8094,1746-8108,4.9,4.9,Q1,,,,,,,,
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,0022-2828,1095-8584,4.9,4.7,Q2,,,,,,,,
Journal of Bionic Engineering,J BIONIC ENG,1672-6529,2543-2141,4.9,4.1,Q1,,,,,,,,
EXPERT OPINION ON INVESTIGATIONAL DRUGS,EXPERT OPIN INV DRUG,1354-3784,1744-7658,4.9,5.3,Q1,,,,,,,,
ORGANIZATION SCIENCE,ORGAN SCI,1047-7039,N/A,4.9,6.3,Q1,,,,,,,,
EXERCISE AND SPORT SCIENCES REVIEWS,EXERC SPORT SCI REV,0091-6331,1538-3008,4.9,6.1,Q1,,,,,,,,
ENVIRONMENTAL SCIENCE & POLICY,ENVIRON SCI POLICY,1462-9011,1873-6416,4.9,5.7,Q1,,,,,,,,
Groundwater for Sustainable Development,GROUNDWATER SUST DEV,2352-801X,2352-801X,4.9,N/A,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,0020-7721,1464-5319,4.9,3.3,Q1,,,,,,,,
JOURNAL OF INTERNATIONAL MARKETING,J INT MARKETING,1069-031X,1547-7215,4.9,7.2,Q1,,,,,,,,
Innovation in Aging,INNOV AGING,N/A,2399-5300,4.9,6.4,Q1,,,,,,,,
Bayesian Analysis,BAYESIAN ANAL,1931-6690,1936-0975,4.9,4.2,Q1,,,,,,,,
Frontiers in Genome Editing,FRONT GENOME EDIT,N/A,2673-3439,4.9,4.6,Q1,,,,,,,,
Biosensors-Basel,BIOSENSORS-BASEL,N/A,2079-6374,4.9,5.2,Q2,,,,,,,,
IMMUNOLOGY,IMMUNOLOGY,0019-2805,1365-2567,4.9,6.6,Q2,,,,,,,,
JOURNAL OF INDUSTRIAL ECOLOGY,J IND ECOL,1088-1980,1530-9290,4.9,6.3,Q2,,,,,,,,
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,COLLOID SURFACE A,0927-7757,1873-4359,4.9,4.7,Q2,,,,,,,,
Biophysical Reviews,BIOPHYS REV-GER,1867-2450,1867-2469,4.9,N/A,Q1,,,,,,,,
Journal of Natural Gas Science and Engineering,J NAT GAS SCI ENG,1875-5100,2212-3865,4.9,5,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,INT J MOL SCI,1661-6596,1422-0067,4.9,5.6,Q2,,,,,,,,
Journal of Membrane Science Letters,J MEMBRANE SCI LETT,2772-4212,2772-4212,4.9,4.9,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,INT J LIFE CYCLE ASS,0948-3349,1614-7502,4.9,4.8,Q1,,,,,,,,
Journal of Physics-Materials,J PHYS-MATER,N/A,2515-7639,4.9,5.1,Q2,,,,,,,,
International Journal of Engineering Business Management,INT J ENG BUS MANAG,1847-9790,1847-9790,4.9,3.9,Q1,,,,,,,,
REVIEWS IN CHEMICAL ENGINEERING,REV CHEM ENG,0167-8299,2191-0235,4.9,6.2,Q1,,,,,,,,
Nanotechnology Science and Applications,NANOTECHNOL SCI APPL,1177-8903,1177-8903,4.9,5.4,Q2,,,,,,,,
GEOLOGY,GEOLOGY,0091-7613,1943-2682,4.8,5.1,Q1,,,,,,,,
RHINOLOGY,RHINOLOGY,0300-0729,0300-0729,4.8,4.2,Q1,,,,,,,,
Education and Information Technologies,EDUC INF TECHNOL,1360-2357,1573-7608,4.8,4.8,Q1,,,,,,,,
JOURNAL OF PUBLIC ECONOMICS,J PUBLIC ECON,0047-2727,0047-2727,4.8,6.5,Q1,,,,,,,,
INTERNATIONAL SECURITY,INT SECURITY,0162-2889,1531-4804,4.8,8.8,Q1,,,,,,,,
PSYCHOLOGICAL SCIENCE,PSYCHOL SCI,0956-7976,1467-9280,4.8,7.4,Q1,,,,,,,,
MILBANK QUARTERLY,MILBANK Q,0887-378X,1468-0009,4.8,7,Q1,,,,,,,,
JOURNAL OF ANXIETY DISORDERS,J ANXIETY DISORD,0887-6185,1873-7897,4.8,7,Q1,,,,,,,,
JOURNAL OF DENTISTRY,J DENT,0300-5712,1879-176X,4.8,5,Q1,,,,,,,,
European Urology Focus,EUR UROL FOCUS,N/A,2405-4569,4.8,4.7,Q1,,,,,,,,
Journal of Hospitality Leisure Sport & Tourism Education,J HOSP LEIS SPORT TO,1473-8376,N/A,4.8,4.1,Q1,,,,,,,,
NEPHROLOGY DIALYSIS TRANSPLANTATION,NEPHROL DIAL TRANSPL,0931-0509,1460-2385,4.8,5,Q1,,,,,,,,
Technological and Economic Development of Economy,TECHNOL ECON DEV ECO,2029-4913,2029-4921,4.8,4,Q1,,,,,,,,
Academy of Management Learning & Education,ACAD MANAG LEARN EDU,1537-260X,N/A,4.8,5.3,Q1,,,,,,,,
